slang;formal
background;latar
plus;ditambah
sampek;sampai
ad;ada
yg;yang
donk;dong
update;perbarui
soo;jadi
godd;bagus
aplication;aplikasi
proud;bangga
of;dari
maker;pembuat
buffering;macet
wlwpun;walau
udh;udah
apk;aplikasi
ttep;tetap
drpda;daripada
bgt;banget
download;unggah
ngak;tidak
prn;pernah
krn;karena
ajh;ajah
mkasi;makasih
jdi;jadi
tv;televisi
gpp;engga
bnrn;beneran
dpt;dapat
tp;tapi
auto;pasti
ngga;engga
chanel;saluran
wkt;waktu
sdh;sudah
gak;tidak
skrg;sekarang
ad;ada
bs;bisa
ndak;tidak
ea;ya
padahl;padahal
jos;keren
gk;tidak
hbs;habis
event;acara
coin;koin
login;masuk
good;baik
mantab;keren
pkok;pokok
best;baik
lol;ketawa
ngelak;macet
ah;mengleluh
bnget;banget
jd;jadi
knapa;kenapa
or;atau
gx;tidak
uninstall;hapus
jg;juga
bnyak;banyak
cenel;saluran
ilang;hilang
kga;tidak
g;tidak
nice;bagus
i;saya
like;suka
baguzz;bagus
buanget;banget
lanjutken;lanjutkan
all;semua
knp;kenapa
via;melalui
uda;sudah
live;langsung
streaming;siaran
non;tidak
widi;keren
jangn;jangan
topup;isi
instal;unduh
ma;sama
napasih;kenapa
knp;kenapa
pls;tolong
apl;aplikasi
klou;kalau
asyik;seru
fantasy;fantasi
team;tim
eror;gangguan
club;tim
gg;hebat
skli;sekali
smg;semoga
sllu;selalu
top;keren
sy;saya
cc;tembusan
bagusss;bagus
developer;pengembang
on;dalam
down;jatuh
mna;mana
lhat;lihat
mantp;keren
online;daring
oke;keren
ksih;kasih
dn;dan
sluruh;seluruh
bgs;bagus
syg;sayang
blur;kabur
eltronik;elektronik
rating;peringkat
sory;maaf
hrs;harus
vodeo;video
gendos;betul
cincai;keren
get;dapat
married;nikah
pub;publikasi
aq;saya
rate;ulas
mntap;keren
org;orang
sy;saya
ndk;tidak
bagtt;banget
amazing;takjub
tpi;tapi
ntilah;nanti
nnt;nonton
cumak;tetapi
tp;tapi
wow;bagus
gthu;begitu
tdak;tidak
apalgi;apalagi
dlu;dulu
cz;karena
dftr;daftar
bgus;bagus
dpet;dapat
iki;ini
layan;layanan
endak;tidak
kmu;anda
klau;kalau
invalid;batal
sngt;sangat
hehe;tertawa
cool;keren
klo;kalau
tamba;tambah
excellent;istimewa
oon;bodoh
gk;tidak
kumplit;komplet
loading;memuat
sip;bagus
cb;coba
lg;lagi
mao;mau
thebest;baik
sy;saya
jelk;jelek
saye;saya
dg;dengan
in;di
ajib;keren
ok;baik
nengok;lihat
herman;heran
ilang;hilang
thank;makasih
eeeh;tapi
mulu;terus
baby;bayi
apus;hapus
ngeleg;lemot
belom;belum
lag;lemot
kmrn;kemarin
sm;sama
paporit;kesukaan
trs;terus
dnld;unduh
msalh;masalah
tuk;untuk
alus;mulus
gw;saya
ntar;nanti
waw;terkejut
mnantu;membantu
jan;jangan
gue;saya
acc;terima
bwang;buang
pketan;paket
mantul;keren
gg;bagus
guys;teman
pas;ketika
speed;kecepatan
knpa;kenapa
tak;tidak
lg;lagi
msti;mesti
romann;romantis
jelikk;jelek
msh;masih
bagis;bagus
offline;luring
kg;engga
b;biasa
lmmot;lemot
dn;dan
kuata;kuota
smlm;semalam
lebi;lebih
ziplh;keren
suaka;suka
bngt;banget
prnh;pernah
smntara;sementara
lngkap;lengkap
g;tidak
sm;sama
free;bebas
no;tidak
user;pengguna
next;lanjut
klok;kalau
ceru;seru
yes;iya
force;paksa
close;tutup
software;perangkat
full;penuh
Bagussssssssssss;bagus
qga;tidak
mbl;mobil
enemukan;menemukan
jg;juga
ama;seperti
acarax;acaranya
cman;hanya
very;sangat
history;riwayat
channel;saluran
more;lebih
nyedot;habiskan
maap;maaf
home;beranda
bug;kerusakan
jlk;jelek
duwit;uang
vilm;film
mangpaat;manfaat
job;kerja
aq;saya
customer;pelanggan
service;pelayanan
thn;tahun
wkwkwkwkwk;tertawa
lol;tertawa
movie;film
double;dobel
donlot;unduh
kwlaitas;kualitas
konek;sambung
love;cinta
Hahaha;tertawa
card;kartu
bet;banget
music;musik
trouble;masalah
worth;bermanfaat
buy;beli
to;untuk
bocil;bocah
player;pemain
min;admin
fiture;fitur
krend;keren
delete;hapus
jlek;jelek
jl;jelek
zoom;perbesar
group;grup
gratisin;gratis
auto;otomatis
Great;bagus
pokoke;pokonya
acarane;acaranya
break;merusak
nntn;nonton
very;banyak
seuneung;seneng
macam;seperti
bangeet;banget
sy;saya
apan;apa
not;tidak
bingit;banget
ora;tidak
apik;bagus
abizzz;abis
wao;wow
gada;tidak ada
ky;seperti
biasahh;biasa
please;tolong
perfect;sempurna
plis;tolong
Susesselalu;sukses
banettttttt;banget
low;rendah
Ngantap;mantap
tngkp;tangkap
nggak;tidak
tethibut;terhibur
stop;berhenti
apps;aplikasi
unlimited;bebas
just;hanya
bolom;belum
no;tidak
problem;masalah
ilng;hilang
excelence;unggul
help;tolong
ntr;nanti
Information;informasi
happy;senang
sep;september
fresh;segar
game;permainan
subtitle;terjemahan
Hahahahahahah;tertawa
bet;banget
kwalitas;kualitas
recommended;rekomendasi
tdk;tidak
tidakk;tidak
